,tweets,id,len,date,source,likes,retweets
0,"“Innovation is the child of freedom and the parent of prosperity.”

From part I of my interview with ⁦@mattwridley⁩ https://t.co/260MdNjy1i",1281388764653211649,139,2020-07-10 00:44:23,Twitter for iPhone,1392,191
1,@chrome92627 I use them occasionally. Whatever works for you.,1280910012508811267,61,2020-07-08 17:01:59,Twitter for iPad,1,1
2,https://t.co/GdIkHaJlfN https://t.co/naHBciQvSJ,1280728210569748480,47,2020-07-08 04:59:34,Twitter for iPhone,80,6
3,"@aashay_doshi @balajis Yes, the brand can be pseudonymous. See Satoshi Nakamoto.",1280727536591179776,80,2020-07-08 04:56:54,Twitter for iPhone,64,5
4,@visualizevalue @jackbutcher One of your best!,1280726647142879232,46,2020-07-08 04:53:22,Twitter for iPhone,287,6
5,"RT @elamje: THREAD time for @naval. 

Top, timeless tweets from @naval over the past 2 years, ordered by popularity, filtered by timelessne…",1280723567852699649,140,2020-07-08 04:41:07,Twitter for iPhone,0,1154
6,"If you need a degree to do it, it’s not going to make you wealthy.",1280622462363820032,66,2020-07-07 21:59:22,Twitter for iPhone,25446,4425
7,"The larger the group, the worse the conversation.",1280569104164769792,49,2020-07-07 18:27:20,Twitter for iPhone,19375,2983
8,@johndurant Problematic newspapers.,1279853596616450048,35,2020-07-05 19:04:10,Twitter for iPhone,611,33
9,The gap that Kanye will exploit is to run as a unity candidate.,1279690167305990147,63,2020-07-05 08:14:46,Twitter for iPhone,6037,440
10,"@stefandjor Example: Every deal with a top-100 VC, Angel, or Seed Fund participating for a meaningful, non-conflicted check size.",1279669426682384384,129,2020-07-05 06:52:21,Twitter for iPhone,16,2
11,"Happy Birthday, America. https://t.co/IUVWfBMavy",1279668855569145856,48,2020-07-05 06:50:04,Twitter for iPhone,1118,75
12,"RT @naval: If you drew a straight-line from today to 2024, passing through another Trump presidency, you end up with @kanyewest vs @AOC.",1279661667710689283,136,2020-07-05 06:21:31,Twitter for iPhone,0,426
13,@Rajeshshen @CrystalWaves7 @VijayKedia1 @ipo_mantra @porinju @dmuthuk @iancassel @morganhousel @Wealth_Theory… https://t.co/uTMrHiKlcq,1279529302086676480,134,2020-07-04 21:35:32,Twitter for iPhone,25,0
14,@CrystalWaves7 @VijayKedia1 @ipo_mantra @porinju @dmuthuk @iancassel @morganhousel @Wealth_Theory @SJosephBurns… https://t.co/zfoL8NgUrU,1279469500883103744,136,2020-07-04 17:37:55,Twitter for iPhone,426,5
15,"@FindYourGroup Fulfill my evolved biological imperatives. Beyond that, seek truth.",1279310033293991937,82,2020-07-04 07:04:15,Twitter for iPad,482,45
16,"@rlj_law The public spectacle makes debates about persuasion, not learning - so it’s a waste of time for learners.",1279183934027206658,114,2020-07-03 22:43:10,Twitter for iPhone,763,71
